"question_id","exam_type","question_type","original_question_id","question_text","passage_text","passage_group_id","passage_order","passage_total_questions","choice_a","choice_b","choice_c","choice_d","choice_e","choice_f","choice_g","choice_h","original_correct_choice","current_correct_choice","original_explanation","current_explanation","choice_a_explanation","choice_b_explanation","choice_c_explanation","choice_d_explanation","choice_e_explanation","choice_f_explanation","choice_g_explanation","choice_h_explanation","major_category","middle_category","minor_category","detail_category","related_terms","difficulty","target_mistake_type","source_year","syllabus_version","valid_from","valid_until","is_current","is_current_exam_scope","revision_note","validation_status","rule_reference_date","similar_question_blocked","created_at","updated_at"
"q_001","it_passport","original",,"[ダミー問題]プロジェクトマネジメントにおける「WBS」の説明として、最も適切なものはどれか。",,,,,"作業を階層的に分解し、管理しやすい単位に分割した図","システムの処理速度を測定するための指標","ネットワークの構成を図式化したもの","予算の増減を月ごとに示した表",,,,,"a","a","WBS(Work Breakdown Structure)は、プロジェクトの作業を階層的に分解し管理単位に分割したものである。","WBSの定義に変更はなく、出題当時と同じ内容である。","WBSはプロジェクトの作業を階層的に分解した図であり、正しい。","処理速度の指標はWBSではなくベンチマーク等で測定する。","ネットワーク構成図はWBSとは異なる管理図である。","予算の月次推移表はWBSではなく予算管理表の一種である。",,,,,"マネジメント系","プロジェクトマネジメント","プロジェクトマネジメント","プロジェクトマネジメント","プロジェクトスコープ;ガントチャート","2",,"2023","シラバスVer.6.2","2024-04-01",,"true","true",,"not_applicable","2024-04-01","false","2026-07-05T00:00:00.000Z","2026-07-05T00:00:00.000Z"
"q_002","it_passport","original",,"[ダミー問題・架空の制度改定サンプル]架空の資格制度「サンプル情報活用士」に関する次の記述のうち、出題当時(2023年度)正しいとされていたものはどれか。なお本制度は説明用の架空の制度である。",,,,,"更新研修は3年に一度受講する必要がある","更新研修は5年に一度受講する必要がある","更新研修は受講不要である","更新研修は毎年受講する必要がある",,,,,"b","a","2023年度時点の架空の規定では、更新研修は5年に一度受講することとされていた。","2024年度の架空の制度改定により、更新研修の頻度が3年に一度へ変更された(本設定はダミーデータ)。","2024年度の改定後は、更新研修は3年に一度が正しい。出題当時は5年に一度であった。","出題当時(2023年度)における正しい記述である。2024年度の改定で3年に一度へ変更された。","更新研修が不要という規定は当時から存在しない。","毎年受講という規定は当時から存在しない。",,,,,"その他","その他","その他","その他","資格更新;制度改定","3",,"2023","シラバスVer.6.0","2023-04-01",,"true","true","[ダミー]架空の制度改定により、2024年度から更新研修の頻度に関する正解が変更された例です。","not_applicable","2024-04-01","false","2026-07-05T00:00:00.000Z","2026-07-05T00:00:00.000Z"
"q_003","it_passport","original",,"[ダミー問題]PDCAサイクルにおける「C」が示す活動として、最も適切なものはどれか。",,,,,"計画に基づいて実行する","実行結果を評価・確認する","評価結果を踏まえて改善する","改善内容を計画に反映する",,,,,"b","b","PDCAサイクルのC(Check)は、実行結果を評価・確認する活動を指す。","定義に変更はなく、出題当時と同じ内容である。","実行(Do)の説明であり、Checkではない。","Check(確認・評価)の説明として正しい。","Action(改善)の説明であり、Checkではない。","Plan(計画)の説明であり、Checkではない。",,,,,"ストラテジ系","システム戦略","システム戦略","業務プロセス","Plan;Do;Action","1",,"2022","シラバスVer.6.2","2024-04-01",,"true","true",,"not_applicable","2024-04-01","false","2026-07-05T00:00:00.000Z","2026-07-05T00:00:00.000Z"
"82b239ff-927f-45bf-8486-656ac82a18b9","it_passport","ai_generated","q_001","プロジェクトの作業を、成果物（または作業単位）まで細かく分解して整理し直すことで、必要な作業範囲を明確にする手法として、最も適切なものはどれか。",,,,,"WBS（作業分解構造）","ネットワーク図（作業の依存関係）","ガントチャート（作業の期間と進捗）","KPI（重要業績評価指標）",,,,,"a","a","WBS（作業分解構造）は、プロジェクトの作業を階層的に分解して整理し、必要な作業範囲を明確にするための手法です。ほかの選択肢は依存関係・期間管理・指標の測定に重点があり、作業範囲の分解という目的が異なります。","WBS（作業分解構造）は、プロジェクトの作業を階層的に分解して整理し、必要な作業範囲を明確にするための手法です。ほかの選択肢は依存関係・期間管理・指標の測定に重点があり、作業範囲の分解という目的が異なります。","作業を成果物（作業単位）まで階層的に分解して整理するのがWBSです。","ネットワーク図は、作業の順序や依存関係を表すのが中心で、作業範囲の階層的な分解そのものではありません。","ガントチャートは、作業の開始・終了時期や進捗を時系列で示すのが中心です。","KPIは、目標達成の度合いを測定する指標であり、作業分解の手法ではありません。",,,,,"マネジメント系","プロジェクトマネジメント","プロジェクトマネジメント","プロジェクトマネジメント","プロジェクトスコープ;成果物;ネットワーク図;ガントチャート;KPI","2","term_confusion","2026","シラバスVer.6.5","2026-07-05",,"true","true","元が「WBSの説明」だけだったため、WBSが果たす目的（必要な作業範囲を明確にする＝成果物（作業単位）まで分解）に焦点を当て、ネットワーク図・ガントチャート・KPIの役割と切り分ける形に変更した。","passed","2026-07-05","false","2026-07-05T10:18:41.371Z","2026-07-05T10:18:41.371Z"
"q_004","it_passport","original",,"[AI作成問題]自社の強み・弱みといった内部環境と、市場の機会・脅威といった外部環境を整理して経営戦略の立案に活用する分析手法として、最も適切なものはどれか。",,,,,"SWOT分析","バランススコアカード","PPM(プロダクトポートフォリオマネジメント)","バリューチェーン分析",,,,,"a","a","SWOT分析は、Strength(強み)・Weakness(弱み)・Opportunity(機会)・Threat(脅威)の頭文字を取ったもので、内部環境と外部環境を整理する代表的な手法である。","定義に変更はない。","内部環境(強み・弱み)と外部環境(機会・脅威)を整理する手法であり、正しい。","バランススコアカードは財務・顧客・業務プロセス・学習と成長の4視点で戦略を管理する手法であり、内部外部環境の整理が主目的ではない。","PPMは事業や製品を市場成長率と市場占有率で分類し、資源配分を検討する手法である。","バリューチェーン分析は、企業活動を機能ごとに分解し付加価値の源泉を分析する手法である。",,,,,"ストラテジ系","経営戦略","経営戦略マネジメント","経営戦略手法","内部環境;外部環境;経営戦略","2",,"2026","シラバスVer.6.2","2024-04-01",,"true","true",,"not_applicable","2024-04-01","false","2026-07-05T00:00:00.000Z","2026-07-05T00:00:00.000Z"
"q_005","it_passport","original",,"[AI作成問題]プログラムの著作権に関する記述として、最も適切なものはどれか。",,,,,"プログラムの著作権は、特許庁への出願・登録によって初めて発生する","プログラムは、アイデアそのものではなく具体的な表現(ソースコードなど)が著作権保護の対象となる","著作権は、著作者の死後直ちに消滅し、以後は誰でも自由に利用できる","プログラムの著作権は、有償で販売されているものにのみ発生する",,,,,"b","b","著作権は創作した時点で自動的に発生する無方式主義であり、保護対象はアイデアではなく具体的な表現である。","定義に変更はない。","著作権は登録の有無に関わらず、創作した時点で自動的に発生する(無方式主義)。","著作権法上、保護されるのはアイデアそのものではなく具体的な表現であり、正しい記述である。","著作権は著作者の死後も一定期間存続し、死後直ちに消滅するわけではない。","著作権は無償で公開されたプログラムにも発生し、有償販売の有無とは関係ない。",,,,,"ストラテジ系","企業と法務","法務","知的財産権","知的財産権;産業財産権;無方式主義","3",,"2026","シラバスVer.6.2","2024-04-01",,"true","true",,"not_applicable","2024-04-01","false","2026-07-05T00:00:00.000Z","2026-07-05T00:00:00.000Z"
"q_006","it_passport","original",,"[AI作成問題]プロジェクトのリスクマネジメントにおいて、発生確率は低いが影響が大きいリスクに対して、リスクの発生自体を避けるために計画や活動内容を変更する対応として、最も適切なものはどれか。",,,,,"リスク回避","リスク転嫁","リスク受容","リスク軽減",,,,,"a","a","リスク回避は、リスクの原因となる活動自体を中止・変更してリスクが発生する可能性そのものをなくす対応である。","定義に変更はない。","リスクの原因となる活動を中止・変更し、発生可能性自体をなくす対応であり、正しい。","リスク転嫁は、保険や契約により影響を第三者へ移す対応である。","リスク受容は、対策を取らずにリスクが顕在化した場合の影響を受け入れる対応である。","リスク軽減は、発生確率や影響度を下げるための対策を講じる対応である。",,,,,"マネジメント系","プロジェクトマネジメント","プロジェクトマネジメント","プロジェクトマネジメント","リスク転嫁;リスク軽減;リスク受容","3",,"2026","シラバスVer.6.2","2024-04-01",,"true","true",,"not_applicable","2024-04-01","false","2026-07-05T00:00:00.000Z","2026-07-05T00:00:00.000Z"
"q_007","it_passport","original",,"[AI作成問題]経営目標の達成度を測る最終的な指標である「KGI」に対し、その達成に向けた過程を管理するための中間指標として、最も適切なものはどれか。",,,,,"KPI","ROI","SLA","ROE",,,,,"a","a","KPI(重要業績評価指標)は、KGI(重要目標達成指標)の達成に向けたプロセスの状況を測定する中間指標である。","定義に変更はない。","KGI達成に向けたプロセスを測る中間指標であり、正しい。","ROI(投資利益率)は投資額に対する利益の割合を示す指標であり、中間指標の一般名称ではない。","SLAはサービス提供者と利用者の間で合意するサービス品質の水準を示す。","ROE(自己資本利益率)は株主資本に対する利益の割合を示す財務指標である。",,,,,"ストラテジ系","経営戦略","経営戦略マネジメント","ビジネス戦略と目標・評価","KGI;PDCA;目標管理","2",,"2026","シラバスVer.6.2","2024-04-01",,"true","true",,"not_applicable","2024-04-01","false","2026-07-05T00:00:00.000Z","2026-07-05T00:00:00.000Z"
"q_008","it_passport","original",,"[AI作成問題]ITサービスマネジメントにおける「インシデント管理」の目的として、最も適切なものはどれか。",,,,,"サービスの中断や品質低下を招く事象を可能な限り迅速に復旧し、サービスへの影響を最小限にすること","将来のインシデント発生を未然に防ぐため、根本原因を特定し恒久的な対策を講じること","サービスの変更を計画的かつ安全に実施すること","IT資産の構成情報を正確に管理すること",,,,,"a","a","インシデント管理は、発生した事象を迅速に復旧させ、サービスへの影響を最小限に抑えることを目的とする。","定義に変更はない。","迅速な復旧によりサービスへの影響を最小化することがインシデント管理の目的であり、正しい。","根本原因の特定と恒久的な対策は問題管理の目的である。","サービス変更の計画的な実施は変更管理の目的である。","IT資産の構成情報管理は構成管理の目的である。",,,,,"マネジメント系","サービスマネジメント","サービスマネジメント","サービスマネジメント","問題管理;変更管理;構成管理","3",,"2026","シラバスVer.6.2","2024-04-01",,"true","true",,"not_applicable","2024-04-01","false","2026-07-05T00:00:00.000Z","2026-07-05T00:00:00.000Z"
"q_009","it_passport","original",,"[AI作成問題]2進数「1011」を10進数に変換した値として、正しいものはどれか。",,,,,"9","10","11","13",,,,,"c","c","2進数1011は、8+0+2+1=11(10進数)である。","定義に変更はない。","1011を計算すると9にはならない。","1011を計算すると10にはならない。","1×8+0×4+1×2+1×1=11であり、正しい。","1011を計算すると13にはならない。",,,,,"テクノロジ系","基礎理論","基礎理論","離散数学","2進数;10進数;16進数","2",,"2026","シラバスVer.6.2","2024-04-01",,"true","true",,"not_applicable","2024-04-01","false","2026-07-05T00:00:00.000Z","2026-07-05T00:00:00.000Z"
