"answer_id","user_id","question_id","selected_choice","evaluated_correct_choice","is_correct","answer_time_seconds","confidence_level","self_reported_mistake_reason","syllabus_version","evaluation_date","answered_at"
"13e1c26a-c398-4944-8b67-e8ee38604935","user_001","q_002","a","a","true","4","unsure",,"シラバスVer.6.0","2026-07-05T09:33:30.020Z","2026-07-05T09:33:30.020Z"
"1520fcb0-da34-41e1-a04f-9c8c06fe0962","user_001","q_001","b","a","false","3","confident",,"シラバスVer.6.2","2026-07-05T09:33:38.245Z","2026-07-05T09:33:38.245Z"
"106cf7cd-dc8e-4db8-b911-53d82b2791a3","user_001","q_001","b","a","false","8","unsure",,"シラバスVer.6.2","2026-07-05T09:33:42.585Z","2026-07-05T09:33:42.585Z"
"4948e3a0-d9e1-49dd-a203-1648154a512e","user_001","q_001","c","a","false","11","unsure",,"シラバスVer.6.2","2026-07-05T09:33:46.434Z","2026-07-05T09:33:46.434Z"
"b054fcf4-0497-427c-a9c5-25b5be21ba26","user_001","q_001","b","a","false","33","confident",,"シラバスVer.6.2","2026-07-05T09:34:07.748Z","2026-07-05T09:34:07.748Z"
"eeb3b0b7-a5b6-4818-a568-8907787ecb92","user_001","q_002","c","a","false","3","unsure",,"シラバスVer.6.0","2026-07-05T09:34:21.087Z","2026-07-05T09:34:21.087Z"
"19f30cdc-754b-427d-b4a2-8c26cc74ca56","user_001","q_003","b","b","true","4","confident",,"シラバスVer.6.2","2026-07-05T10:17:53.586Z","2026-07-05T10:17:53.586Z"
"029683e8-e9a2-4ea2-8d62-d3eba80df250","user_001","q_003","b","b","true","2","confident",,"シラバスVer.6.2","2026-07-05T10:17:59.478Z","2026-07-05T10:17:59.478Z"
"455ed3fa-646f-4a71-b096-4f7da411c493","user_001","q_001","d","a","false","3","unsure",,"シラバスVer.6.2","2026-07-05T10:18:04.815Z","2026-07-05T10:18:04.815Z"
"0cc3e2a1-29ae-42a8-9233-483ce071a547","user_001","q_001","c","a","false","2","unsure",,"シラバスVer.6.2","2026-07-05T10:18:18.140Z","2026-07-05T10:18:18.140Z"
"50dbdaa9-e06d-43c0-be92-9fd0c03be771","user_001","82b239ff-927f-45bf-8486-656ac82a18b9","a","a","true","7","unsure",,"シラバスVer.6.5","2026-07-05T10:18:48.888Z","2026-07-05T10:18:48.888Z"
